Class,RVNumber,SubClass,TOPSNumber,Name,Blueprint
Class47_dom,47001A6H780,47/0,47001,(VP-47) Class 47/0 BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47002B1S670,47/0,47002,(VP-47) Class 47/0 BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47003R6J370,47/0,47003,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47004R7I500,47/0,47004,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47005R1N920,47/0,47005,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47006R2T690,47/0,47006,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47007R6C730,47/0,47007,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47008R7G370,47/0,47008,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47009G5X640,47/0,47009,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47010R2G610,47/0,47010,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47011G0J970,47/0,47011,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47012B3C380,47/0,47012,(VP-47) Class 47/0 BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47013B1A790,47/0,47013,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47014R8P300,47/0,47014,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47015B2L410,47/0,47015,(VP-47) Class 47/0 BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47016R9Z350,47/0,47016,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47096A4O090,47/0,47096,(VP-47) Class 47/0 BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47097R9Q240,47/0,47097,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47098C6L880,47/0,47098,(VP-47) Class 47/0 BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine\47_NoETH_Dom\class47_br0_Dom.xml
Class47_dom,47099R8G240,47/0,47099,(VP-47) Class 47/0 GR BR Blue DO,RailVehicles\Diesel\Class47_rf2\BlueNoHL\Engine_Grey\47_NoETH_Dom\class47_br0_Dom.xml
