Class,Provider,Product,Blueprint,ReplaceProvider,ReplaceProduct,ReplaceBlueprint,ReplaceName,NumbersDcsv
Mk1,BMG,Black5Pack01,RailVehicles\Passenger\Mark1_coaches\MK1BFK\BR Maroon\mk1BFK_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\Maroon2\BFK\Mk1_BFK.xml,AP Mk1 BFK Maroon 2,RailVehicles\Mk1\BC\BFK\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\Passenger\Mark1_coaches\MK1BG\BR Maroon\Coach\mk1bg_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\Maroon\BG\Mk1_BG.xml,AP Mk1 BG Maroon,RailVehicles\Mk1\BC\BG\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\Passenger\Mark1_coaches\MK1BSK\BR Maroon\Coach\mk1BSK_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\Maroon\BSK\Mk1_BSK.xml,AP Mk1 BSK Maroon,RailVehicles\Mk1\BC\BSK\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\Passenger\Mark1_coaches\MK1FK\BR Maroon\Coach\mk1fk_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\Maroon2\FK\Mk1_FK.xml,AP Mk1 FK Maroon 2,RailVehicles\Mk1\BC\FK\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\Passenger\Mark1_coaches\MK1RMB\BR Maroon\Coach\mk1rmb_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\Maroon\RMB\Mk1_RMB.xml,AP Mk1 RMB Maroon,RailVehicles\Mk1\BC\RMB\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\Passenger\Mark1_coaches\MK1SK\BR Maroon\Coach\mk1sk_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\Maroon\SK\Mk1_SK.xml,AP Mk1 SK Maroon,RailVehicles\Mk1\BC\SK\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\Passenger\Mark1_coaches\MK1TSO\BR Maroon\mk1tso_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\Maroon\TSO\Mk1_TSO.xml,AP Mk1 TSO Maroon,RailVehicles\Mk1\BC\TSO\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\PassengerPack\Blue\MK1BG\BR Maroon\Coach\mk1bg_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\BRBlueGrey\BG\Mk1_BG.xml,AP Mk1 BG BR Blue/Grey,RailVehicles\Mk1\BRBlueGrey\BG\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\PassengerPack\Blue\MK1BSK\BR Maroon\Coach\mk1BSK_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\BRBlueGrey\BSK\Mk1_BSK.xml,AP Mk1 BSK BR Blue/Grey,RailVehicles\Mk1\BRBlueGrey\BSK\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\PassengerPack\Blue\MK1FK\BR Maroon\Coach\mk1fk_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\BRBlueGrey\FK\Mk1_FK.xml,AP Mk1 FK BR Blue/Grey,RailVehicles\Mk1\BRBlueGrey\FK\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\PassengerPack\Blue\MK1RMB\BR Maroon\Coach\mk1rmb_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\BRBlueGrey\RMB\Mk1_RMB.xml,AP Mk1 RMB BR Blue/Grey,RailVehicles\Mk1\BRBlueGrey\RMB\Numbers.dcsv
Mk1,BMG,Black5Pack01,RailVehicles\PassengerPack\Blue\MK1SK\BR Maroon\Coach\mk1sk_Maroon.xml,AP,BRMk1Pack01,RailVehicles\Mk1\BRBlueGrey\SK\Mk1_SK.xml,AP Mk1 SK BR Blue/Grey,RailVehicles\Mk1\BRBlueGrey\SK\Numbers.dcsv
