Label,Provider,Product,Blueprint,ReplaceProvider,ReplaceProduct,ReplaceBlueprint,ReplaceName,NumbersDcsv
Black5,RSC,Woodhead,RailVehicles\Steam\5MT_Black5\Default\Engine\Black5 Engine.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Engine\black5_br.xml,[LMS 5MT] Black 5 - BR lined,
Black5,RSC,Woodhead,RailVehicles\Steam\5MT_Black5\Default\Tender\Black5 Tender.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Tender\black5_tender_BR_early_lined.xml,[LMS 5MT] Tender - BR Early Lined,
Black5,keithmross,Port Road,RailVehicles\Steam\5MT_Black5\HeavyWeathered\Engine\Black5 Engine.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Engine\black5_br_w.xml,[LMS 5MT] Black 5 - BR lined weathered,
Black5,keithmross,Port Road,RailVehicles\Steam\5MT_Black5\HeavyWeathered\Tender\Black5 Tender.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Late_Lined\Tender\black5_tender_BR_late_lined_riveted_w.xml,[LMS 5MT] Tender - BR Late Lined Riveted weathered,
Black5,keithmross,Port Road,RailVehicles\Steam\5MT_Black5\IntermediateWeathered\Engine\Black5 Engine.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Engine\black5_br_w.xml,[LMS 5MT] Black 5 - BR lined weathered,
Black5,keithmross,Port Road,RailVehicles\Steam\5MT_Black5\IntermediateWeathered\Tender\Black5 Tender.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Late_Lined\Tender\black5_tender_BR_late_lined_w.xml,[LMS 5MT] Tender - BR Late Lined weathered,
Black5,keithmross,Port Road,RailVehicles\Steam\5MT_Black5\Default\Engine\Black5 Engine.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Engine\black5_br.xml,[LMS 5MT] Black 5 - BR lined,
Black5,keithmross,Port Road,RailVehicles\Steam\5MT_Black5\Default\Tender\Black5 Tender.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Tender\black5_tender_BR_early_lined.xml,[LMS 5MT] Tender - BR Early Lined,
Black5,Kuju,RailSimulator,RailVehicles\Steam\5MT_Black5\SSS_Stainmore\Engine_Lined\Black5 Engine.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Engine\black5_br.xml,[LMS 5MT] Black 5 - BR lined,
Black5,Kuju,RailSimulator,RailVehicles\Steam\5MT_Black5\SSS_Stainmore\Tender_Lined\Black5 Tender.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Tender\black5_tender_BR_early_lined.xml,[LMS 5MT] Tender - BR Early Lined,
Black5,Kuju,RailSimulator,RailVehicles\Steam\5MT_Black5\SSS_Stainmore\Tender_Lined\Black5 Tender_late.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Late_Lined\Tender\black5_tender_BR_late_lined.xml,[LMS 5MT] Tender - BR Late Lined,
Black5,Kuju,RailSimulator,RailVehicles\Steam\5MT_Black5\5xp_Black5\Engine\5xp_Black5_Engine.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Engine\black5_br_w.xml,[LMS 5MT] Black 5 - BR lined weathered,
Black5,Kuju,RailSimulator,RailVehicles\Steam\5MT_Black5\5xp_Black5\Tender\5xp Black5 Tender.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Late_Lined\Tender\black5_tender_BR_late_lined_riveted_w.xml,[LMS 5MT] Tender - BR Late Lined Riveted weathered,
Black5,Kuju,RailSimulator,RailVehicles\Steam\5MT_Black5\Default\Engine\Black5 Engine.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Engine\black5_br.xml,[LMS 5MT] Black 5 - BR lined,
Black5,Kuju,RailSimulator,RailVehicles\Steam\5MT_Black5\Default\Tender\Black5 Tender.xml,BMG,Black5Pack01,RailVehicles\Steam\Black5\BR_Early_Lined\Tender\black5_tender_BR_early_lined.xml,[LMS 5MT] Tender - BR Early Lined,
LMS8F,RSC,Woodhead,RailVehicles\Steam\8F\Default\Engine\8F_Engine.xml,BMG,8FPack01,RailVehicles\Steam\8F\BR_Late\Engine\8F_br_late_clean.xml,[LMS 8F] 8F Loco - BR Late Black Clean,
LMS8F,RSC,Woodhead,RailVehicles\Steam\8F\Default\Tender\8F_Tender.xml,BMG,8FPack01,RailVehicles\Steam\8F\BR_Late\Tender\stanier_tender_BR_late_clean.xml,[LMS 8F] Tender - Stanier BR Late Clean,
GCR8K,RSC,RobinsonO4Pack01,RailVehicles\Steam\Robinson_04\Default\Engine\LNER_04.xml,Caledonia Works,CW_GCR8K,RailVehicles\Steam\GCR 8k Class\BR (1948-49)\Engine\GCR 8K blueprint.xml,[CW] GCR 8K - British Railways,
GCR8K,RSC,RobinsonO4Pack01,RailVehicles\Steam\Robinson_04\Default\Tender\LNER_O4_Tender.xml,Caledonia Works,CW_GCR8K,RailVehicles\Steam\GCR 8k Class\BR (1949-56)\Tender\Tender blueprint.xml,[CW] GCR 8K Tender - BR (1949-59),
GWR57xx,RSC,FalmouthBranch,RailVehicles\Steam\PannierTank\Default\Engine\57XX_Engine.xml,VictoryWorks,GWRPannierTanks,RailVehicles\Steam\5700\BR_Black_5700\BR_Black_5700_Engine_Era1.xml,[Pannier] BR(W) 5700 (1950-56) Black,83F12Y1YY22YNY2Y3Y1YY01NK
GWR57xx,DTG,ExeterKingswear,RailVehicles\Steam\PannierTank\Default\Engine\57XX_Engine_BR.xml,VictoryWorks,GWRPannierTanks,RailVehicles\Steam\5700\BR_Black_Worn_5700\BR_Black_Worn_5700_Engine_Era1.xml,[Pannier] BR(W) 5700 (1950-56) Black (Worn),83A11Y1YY22YNY2Y3Y1YY01NC
GWR57xx,DTG,ExeterKingswear,RailVehicles\Steam\PannierTank\Default\Engine\57XX_Engine_BR_clean.xml,VictoryWorks,GWRPannierTanks,RailVehicles\Steam\5700\BR_Black_5700\BR_Black_5700_Engine_Era1.xml,[Pannier] BR(W) 5700 (1950-56) Black,83A11Y1YY22YNY2Y3Y1YY01NC
GWR57xx,DTG,Malmesbury Assets,RailVehicles\Steam\PannierTank\Default\Engine\57XX_Engine_BR.xml,VictoryWorks,GWRPannierTanks,RailVehicles\Steam\5700\BR_Black_Worn_5700\BR_Black_Worn_5700_Engine_Era1.xml,[Pannier] BR(W) 5700 (1950-56) Black (Worn),83A11Y1YY22YNY2Y3Y1YY01NC
GWR57xx,DTG,Malmesbury Assets,RailVehicles\Steam\PannierTank\Default\Engine\57XX_Engine_BR_clean.xml,VictoryWorks,GWRPannierTanks,RailVehicles\Steam\5700\BR_Black_5700\BR_Black_5700_Engine_Era1.xml,[Pannier] BR(W) 5700 (1950-56) Black,83A11Y1YY22YNY2Y3Y1YY01NC
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\BR Green\Engine\Jubilee Engine Green.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR\Engine\jubilee_br_aws.xml,[LMS 5XP] Jubilee Loco - BR Green,RailVehicles\Steam\Jubilee\BR\Engine\JubileeNumbersBR.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\BR Green\Tender\Jubilee Tender Green.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR\Tender\tender_stanier_4000_BR_late.xml,[LMS 5XP] Jubilee Tender - BR Green Late,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\DoubleChimney\Engine\Jubilee Engine.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Engine\jubilee_lms.xml,[LMS 5XP] Jubilee Loco - LMS Crimson,RailVehicles\Steam\Jubilee\LMS\Engine\JubileeNumbersLMS.dcsv
